,Movie,Screen,Sales,Audience,장르,Rate,month,year,개봉일,감독,배우
54,청년경찰,"1,102","44,241,099,316","5,636,259",액션,15세이상관람가,8,2017,2017-08-09,김주환,"박서준,강하늘,박승호,성동일,한도진,박하선,정다은,김규백,이하준,이현일,임대현,박재홍,박정훈,장석진,서은지,서정우,서지원,신정화,조윤주,우상기,이강재,이다영,최광원,최지민,이도현,이상민,이세희,이수진,한재욱,이은비,이재웅,이정수,이주원,서정연,고준,전준영,이호정,배유람,이승희,류경수,정원중,이수인,김강현,최홍일,정동훈,안성봉,양현진,서도빈,지찬,이규성,변우석"
55,숨바꼭질,779,"39,593,038,500","5,602,543",스릴러,15세이상관람가,8,2013,2013-08-14,허정,"손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈,주석태,정민성,김혜윤,김자영"
57,덕혜옹주,964,"44,344,141,109","5,593,551",사극,12세이상관람가,8,2016,2016-08-03,허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원,고수,금새록,김승훈,김기천,곽자형,김나연,신정섭,김용호"
58,더 테러 라이브,743,"39,866,712,881","5,583,596",범죄,15세이상관람가,7,2013,2013-07-31,김병우,"하정우,이경영,전혜진,이다윗,이재관,이춘연,장성환,전려경,박수화,김홍파,김대명,최진호,김소진,강진아,최대훈,강신철,한성천,손성찬,최정현"
59,감시자들,949,"39,298,005,179","5,496,547",범죄,15세이상관람가,7,2013,2013-07-03,"조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥,윤돈선"
60,검은 사제들,"1,088","42,395,347,092","5,440,945",미스터리,15세이상관람가,11,2015,2015-11-05,장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅"
62,안시성,"1,540","46,335,334,026","5,440,186",사극,12세이상관람가,9,2018,2018-09-19,김광식,"이태진,조인성,신현숙,남주혁,박성웅,김경희,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일,이현,이경재,이낙준,이동민,이상혁,이상호,이성욱,이세민,이승석,배유리,이승환,배준수,이원재,이은희,이은희,이인규,이정민,이정선,김종호,이준우,이진용,이태진,이호준,임동영,임상현,김현우,김현창,나대한,오진석,유병주,윤정열,문창준,박경관,임용순,박세준,정미경,정지훈,김한솔,정태영,조석현,조형래,조혜인,조혜인,김욱,김대현,김동민,김동진,김명준,김민혁,최희열,한명환,한아름,한정환,김이현,김원중,김세홍,강희중,주석태,손영순,장광,옥자연,여이레,정인겸,신유람,박태산,정태야,황재필,이람,정현국,오일용"
63,완벽한 타인,"1,313","44,356,752,474","5,294,119",드라마,15세이상관람가,10,2018,2018-10-31,이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,지우,정민규,정지훈,조용진,최유화,조달환"
64,독전,"1,357","43,484,892,913","5,063,620",범죄,15세이상관람가,5,2018,2018-05-22,이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우,이경제,이민호,김재훈,백승환,이정철,이정호,김준형,이주영,이지민,안성봉,김태준,김태현,오현석,박성연,박예진,박은영,박정진,박종범,정여진,박진수,최성철,김대근,황기석,김양수,김선우,강승현,강지현,김누리,김동영,진서연,정가람,김동영,금새록,정준원,서문호,이육헌,윤재인,정종우,추연규"
65,공작,"1,317","42,759,410,176","4,971,261",드라마,12세이상관람가,8,2018,2018-08-08,윤종빈,"황정민,이성민,조진웅,주지훈,김대현,이경호,이기용,이동희,이상원,이상현,박현민,박혜영,김재희,이승찬,이승환,이승훈,이은영,김정현,이재우,이재혁,김정호,김종수,김지나,서주연,손승훈,이창석,이창훈,이희경,김지혜,김지홍,김진영,김현중,김형기,김형우,정재헌,박진수,박진영,강주석,정혜경,조현수,강민지,김다솜,김대현,김미혜,최운진,최지현,최희열,김소진,김수연,김은아,김승희,김영진,김영훈,김용석,김우영,김우현,주해은,한창현,양현민,정기섭,민무제,한성천,금새록,김응수,최병모,손성찬,홍기준,정소리,김규백,김규남,최정인,박경찬,곽자형,강덕중,류성현,감승민,김현,윤재인,권범택,설창희,김인우,양지수,곽진석,박혁민,염석무,엄지만,정종우,김도율,권유진,김종태"
66,마스터,"1,501","39,811,539,665","4,940,091",액션,15세이상관람가,12,2016,2016-12-21,조의석,"이병헌,강동원,김우빈,엄지원,박해수,오달수,진경,김정우,장한별,이승용,김대현,홍성덕,우도환,배정남,조현철,정원중,주석태,송영학,이도국,김태훈"
