,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
135,피끓는 청춘,679,11688382888,1676.04,코미디,15세이상관람가,1,2014,1,17
136,PMC: 더 벙커,1081,14024838424,1671.548,액션,15세이상관람가,12,2018,1,14
137,임금님의 사건수첩,1054,12648793723,1634.403,코미디,12세이상관람가,4,2017,0,17
138,걸캅스,973,13772604134,1625.037,코미디,15세이상관람가,5,2019,1,17
139,우아한 거짓말,555,11694011300,1613.392,드라마,12세이상관람가,3,2014,0,6
140,두근두근 내 인생,629,12191623034,1611.519,드라마,12세이상관람가,9,2014,0,6
141,사자,1405,12917306145,1609.737,미스터리,15세이상관람가,7,2019,1,9
142,창궐,1351,13275772490,1599.29,사극,15세이상관람가,10,2018,1,11
143,더 폰,794,12309164568,1593.694,스릴러,15세이상관람가,10,2015,1,12
144,성난황소,1010,13236490737,1593.386,범죄,15세이상관람가,11,2018,1,10
145,도어락,954,12694612486,1545.442,스릴러,15세이상관람가,12,2018,1,12
146,정직한 후보,1187,12765456530,1525.718,코미디,12세이상관람가,2,2020,0,17
147,리틀 포레스트,884,11924818185,1505.56,드라마,전체관람가,2,2018,2,6
148,내부자들: 디 오리지널,838,16973885275,2083.999,범죄,청소년관람불가,12,2015,3,10
149,스윙키즈,984,12077312892,1470.753,드라마,12세이상관람가,12,2018,0,6
150,부라더,889,11590908298,1468.301,코미디,12세이상관람가,11,2017,0,17
151,악질경찰,833,2256615278,262.233,범죄,청소년관람불가,3,2019,3,10
152,화이: 괴물을 삼킨 아이,817,17678676795,2391.963,액션,청소년관람불가,10,2013,3,14
153,나의 특별한 형제,936,11835049574,1441.813,드라마,12세이상관람가,5,2019,0,6
154,탐정 홍길동: 사라진 마을,764,11483686845,1426.873,드라마,15세이상관람가,5,2016,1,6
155,런닝맨,567,10011200500,1416.053,액션,15세이상관람가,4,2013,1,14
156,기억의 밤,751,10652346660,1387.599,미스터리,15세이상관람가,11,2017,1,9
157,골든슬럼버,833,11412768798,1387.508,범죄,15세이상관람가,2,2018,1,10
158,신의 한 수,794,28777712256,3562.123,범죄,청소년관람불가,7,2014,3,10
159,특별시민,1154,10494768945,1362.634,드라마,15세이상관람가,4,2017,1,6
160,궁합,966,10478875438,1340.117,코미디,12세이상관람가,2,2018,0,17
161,미스터 고,840,9337990000,1328.89,코미디,12세이상관람가,7,2013,0,17
162,사라진 밤,925,10686397316,1314.274,스릴러,15세이상관람가,3,2018,1,12
163,장산범,711,10332117083,1305.145,미스터리,15세이상관람가,8,2017,1,9
164,클로젯,1197,10920792280,1264.97,미스터리,15세이상관람가,2,2020,1,9
165,유열의 음악앨범,1078,10233455040,1245.532,멜로/로맨스,12세이상관람가,8,2019,0,7
166,오케이 마담,1288,10979902910,1228.687,코미디,15세이상관람가,8,2020,1,17
167,특별수사: 사형수의 편지,691,9792082065,1225.142,범죄,15세이상관람가,6,2016,1,10
168,찌라시: 위험한 소문,560,9111648087,1221.42,범죄,15세이상관람가,2,2014,1,10
169,결혼전야,524,8431504719,1212.27,멜로/로맨스,15세이상관람가,11,2013,1,7
170,해치지않아,1216,10154099090,1209.689,코미디,12세이상관람가,1,2020,0,17
171,버닝,739,4714345098,528.153,미스터리,청소년관람불가,5,2018,3,9
172,깡철이,707,8534777462,1204.666,드라마,15세이상관람가,10,2013,1,6
173,시간이탈자,733,9729882195,1202.058,스릴러,15세이상관람가,4,2016,1,12
174,해빙,915,9879737822,1201.576,스릴러,15세이상관람가,3,2017,1,12
175,더 웹툰: 예고살인,541,8534322070,1201.033,공포(호러),15세이상관람가,6,2013,1,3
176,생일,862,9786575840,1186.283,드라마,전체관람가,4,2019,2,6
177,전설의 주먹,724,12732236500,1737.253,드라마,청소년관람불가,4,2013,3,6
178,빅매치,627,8952096578,1177.438,액션,15세이상관람가,11,2014,1,14
179,"힘을 내요, 미스터 리",990,9887863906,1176.076,코미디,12세이상관람가,9,2019,0,17
180,동주,499,8864695589,1168.427,드라마,12세이상관람가,2,2016,0,6
181,장수상회,688,8707389643,1160.935,멜로/로맨스,12세이상관람가,4,2015,0,7
