,Movie,Screen,Sales,Audience,Genre,Rate,month,year
357,은밀한 유혹,394,1112423247,142405,멜로/로맨스,15세이상관람가,6,2015
358,좋은 친구들,371,3201527031,404456,범죄,청소년관람불가,7,2014
359,극장판 또봇: 로봇군단의 습격,231,1089135300,141592,애니메이션,전체관람가,4,2017
360,가시,356,1094017000,141956,멜로/로맨스,청소년관람불가,4,2014
361,독전: 익스텐디드 컷,398,844714600,137775,범죄,15세이상관람가,7,2018
362,0.0MHz,446,1088258860,137294,공포(호러),15세이상관람가,5,2019
363,검객,832,1162122130,136824,액션,15세이상관람가,9,2020
364,극장판 꼬마버스 타요의 에이스 구출작전,200,905899900,135398,애니메이션,전체관람가,1,2016
365,로마의 휴일,436,993321176,134827,코미디,15세이상관람가,8,2017
366,워킹걸,308,1183887479,149181,코미디,청소년관람불가,1,2015
367,응징자,305,1388412500,192347,액션,청소년관람불가,10,2013
368,시간위의 집,454,987958600,124601,미스터리,15세이상관람가,4,2017
